Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
1717,1717,1717,2.039621552356427,18.50942678199473,1.01981078,0.03850818,0.5
836,836,836,2.0397286365487677,18.510790144721792,1.01986432,0.03850818,0.5
466,466,466,2.039827448727065,18.512048127237453,1.01991372,0.03850818,0.5
723,723,723,2.0399225853457383,18.513259258450503,1.01996129,0.03850818,0.5
1787,1787,1787,2.040361772383047,18.518849571447156,1.02018089,0.03850818,0.5
1602,1602,1602,2.040445382198622,18.519913685634105,1.02022269,0.03850818,0.5
882,882,882,2.0404548220747585,18.52003382556036,1.02022741,0.03850818,0.5
1886,1886,1886,2.0405310315518,18.52100371209952,1.02026552,0.03850818,0.5
1037,1037,1037,2.041072877275834,18.527898514681453,1.02053644,0.03850818,0.5
1272,1272,1272,2.0411747837750975,18.52919503573577,1.02058739,0.03850818,0.5
1252,1252,1252,2.0420005141501805,18.539698130429535,1.02100026,0.03850818,0.5
22,22,22,2.042464645369833,18.54559990514991,1.02123232,0.03850818,0.5
